"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.087782,0.62963,0.53394,0,0,0,38.769,0.25682,9.9958e-05,-20.895,1,0.015
1.679,2.0093,1.4761,0,0,0,411.36,2.4044,0.0007859,-17.665,1,0.03
3.5727,1.7197,1.447,0,0,0,367.46,2.6866,0.00098301,-17.877,1,0.045
5.0414,1.5197,1.3275,0,0,0,357.32,3.1105,0.0012802,-19.198,1,0.06
6.2178,1.3152,1.1921,0,0,0,352.82,3.5786,0.0016676,-20.36,1,0.075
7.1756,1.1142,1.0602,0,0,0,347.8,4.0691,0.0021564,-20.908,1,0.09
7.9744,0.93144,0.93339,0,0,0,340.79,4.5715,0.0027662,-20.764,1,0.105
8.663,0.77455,0.81282,0,0,0,331.81,5.0867,0.003528,-20.046,1,0.12
9.2786,0.64473,0.70268,0,0,0,321.01,5.6154,0.0044759,-18.945,1,0.135
9.8463,0.53838,0.60545,0,0,0,308.8,6.1557,0.005644,-17.646,1,0.15
10.381,0.45137,0.52142,0,0,0,295.46,6.6955,0.0070624,-16.295,1,0.165
10.887,0.38042,0.44938,0,0,0,281,7.2058,0.0087407,-14.992,1,0.18
11.357,0.31731,0.38046,0,0,0,265.65,7.6389,0.010609,-13.83,1,0.195
11.982,0.51258,0.61848,0,0,0,245.03,8.1677,0.014102,-12.353,1,0.21
12.344,0.47262,0.5636,0,0,0,224.8,8.2897,0.016131,-11.507,1,0.225
12.619,0.42516,0.50235,0,0,0,207.76,8.3013,0.017842,-10.775,1,0.24
12.851,0.38693,0.45144,0,0,0,192.6,8.2637,0.019432,-10.102,1,0.255
13.038,0.35737,0.4103,0,0,0,179.59,8.1788,0.02083,-9.4972,1,0.27
13.192,0.33329,0.37573,0,0,0,168.26,8.0692,0.022065,-8.9413,1,0.285
13.31,0.3141,0.34751,0,0,0,158.81,7.9444,0.023126,-8.4332,1,0.3
13.402,0.29787,0.32344,0,0,0,150.73,7.8148,0.024062,-7.9576,1,0.315
13.47,0.28415,0.30309,0,0,0,144.04,7.6852,0.024888,-7.5122,1,0.33
13.519,0.2721,0.28536,0,0,0,138.44,7.559,0.025653,-7.0892,1,0.345
13.55,0.26138,0.26976,0,0,0,133.8,7.439,0.026417,-6.6865,1,0.36
13.566,0.25163,0.25577,0,0,0,129.99,7.3264,0.027334,-6.3004,1,0.375
13.57,0.24242,0.24283,0,0,0,126.82,7.2217,0.02888,-5.9266,1,0.39
13.56,0.23336,0.23049,0,0,0,124.45,7.1287,0.032553,-5.5641,1,0.405
13.541,0.22425,0.2183,0,0,0,122.83,7.0485,0.037502,-5.2093,1,0.42
13.509,0.21556,0.20662,0,0,0,122.06,6.9836,0.041039,-4.8719,1,0.435
13.468,0.20748,0.19579,0,0,0,121.83,6.9299,0.043022,-4.5555,1,0.45
13.419,0.19996,0.18591,0,0,0,121.89,6.8847,0.044133,-4.2576,1,0.465
13.362,0.19292,0.17689,0,0,0,122.15,6.8467,0.044849,-3.9753,1,0.48
13.3,0.18625,0.16847,0,0,0,122.52,6.8144,0.045445,-3.7051,1,0.495
13.231,0.17991,0.16058,0,0,0,122.95,6.7886,0.046021,-3.4481,1,0.51
13.157,0.17381,0.15306,0,0,0,123.41,6.7679,0.04662,-3.2021,1,0.525
13.078,0.16793,0.14588,0,0,0,123.86,6.7525,0.047263,-2.9676,1,0.54
12.995,0.16225,0.13898,0,0,0,124.3,6.7422,0.047958,-2.7442,1,0.555
12.908,0.15673,0.13232,0,0,0,124.7,6.7362,0.048704,-2.531,1,0.57
12.817,0.1514,0.12593,0,0,0,125.05,6.7352,0.049518,-2.3294,1,0.585
12.723,0.1462,0.11974,0,0,0,125.35,6.7372,0.050381,-2.1371,1,0.6
12.625,0.14117,0.11378,0,0,0,125.57,6.7426,0.051301,-1.9551,1,0.615
12.524,0.13628,0.10803,0,0,0,125.7,6.7513,0.052284,-1.7831,1,0.63
12.42,0.13152,0.10248,0,0,0,125.76,6.7623,0.053319,-1.6195,1,0.645
12.313,0.12693,0.097165,0,0,0,125.72,6.7752,0.054406,-1.4662,1,0.66
12.205,0.12247,0.092044,0,0,0,125.58,6.7896,0.055541,-1.3211,1,0.675
12.094,0.11814,0.087113,0,0,0,125.34,6.8048,0.056721,-1.184,1,0.69
11.981,0.11397,0.082419,0,0,0,124.99,6.8205,0.057945,-1.0563,1,0.705
11.866,0.10993,0.077908,0,0,0,124.53,6.8361,0.059204,-0.93566,1,0.72
11.75,0.10601,0.073595,0,0,0,123.96,6.8512,0.060498,-0.82258,1,0.735
11.632,0.10225,0.0695,0,0,0,123.28,6.8653,0.061818,-0.71739,1,0.75
11.514,0.098612,0.065582,0,0,0,122.5,6.8781,0.063162,-0.61861,1,0.765
11.395,0.095105,0.061862,0,0,0,121.61,6.8891,0.064526,-0.52673,1,0.78
11.275,0.091734,0.058337,0,0,0,120.61,6.898,0.065902,-0.44148,1,0.795
11.155,0.088477,0.05498,0,0,0,119.52,6.9047,0.067288,-0.36185,1,0.81
11.034,0.085349,0.05181,0,0,0,118.32,6.9084,0.068678,-0.28833,1,0.825
10.914,0.082346,0.048815,0,0,0,117.03,6.9093,0.070068,-0.22032,1,0.84
10.793,0.079448,0.045972,0,0,0,115.66,6.9076,0.07146,-0.1571,1,0.855
10.673,0.076672,0.043299,0,0,0,114.19,6.9023,0.072842,-0.099095,1,0.87
10.553,0.074008,0.040779,0,0,0,112.65,6.8937,0.074209,-0.045577,1,0.885
10.434,0.071442,0.038392,0,0,0,111.05,6.8819,0.075563,0.0040545,1,0.9
10.316,0.068987,0.036154,0,0,0,109.37,6.8663,0.076898,0.04952,1,0.915
10.199,0.066634,0.034048,0,0,0,107.64,6.8475,0.078211,0.091456,1,0.93
10.082,0.06437,0.032056,0,0,0,105.86,6.8254,0.079502,0.13067,1,0.945
9.9667,0.062208,0.030183,0,0,0,104.03,6.7996,0.080766,0.16654,1,0.96
9.8523,0.060114,0.028397,0,0,0,102.16,6.7707,0.082005,0.1987,1,0.975
9.7397,0.056843,0.026348,0,0,0,100.25,6.7382,0.083025,0.26333,1,0.99
