"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
8.8748,0.72842,0.77478,0,0,0,328.4,5.2614,0.0038217,-19.712,1,0
9.2076,0.65431,1.2787,0,0,0,334.98,5.6099,0.0043416,-18.862,1,0.00348
9.8591,0.52172,2.0323,0,0,0,335.66,6.2965,0.0055722,-17.067,1,0.00696
10.599,0.38536,2.6497,0,0,0,316.5,7.0243,0.0073349,-14.846,1,0.01044
11.302,0.26658,3.0515,0,0,0,277.42,7.6197,0.0094802,-12.548,1,0.01392
11.924,0.16679,3.2999,0,0,0,227.02,8.0217,0.011883,-10.374,1,0.0174
12.469,0.080311,3.4441,0,0,0,177.51,8.2682,0.014437,-8.4055,1,0.02088
12.945,0.0056578,3.5012,0,0,0,137.53,8.3784,0.017012,-6.7202,1,0.02436
13.379,-0.060614,3.5029,0,0,0,106.41,8.3989,0.019513,-5.2634,1,0.02784
13.775,-0.11783,3.4591,0,0,0,83.163,8.3359,0.021992,-4.0155,1,0.03132
14.132,-0.16396,3.3814,0,0,0,66.766,8.1948,0.024656,-2.9565,1,0.0348
14.441,-0.19653,3.2852,0,0,0,56.145,7.9874,0.027798,-2.0666,1,0.03828
14.693,-0.21326,3.1902,0,0,0,50.285,7.7358,0.031718,-1.3314,1,0.04176
14.866,-0.21214,3.1235,0,0,0,48.732,7.4818,0.036239,-0.78636,1,0.04524
14.978,-0.20114,3.0876,0,0,0,49.927,7.2602,0.039949,-0.39849,1,0.04872
15.038,-0.18445,3.0756,0,0,0,53.588,7.0806,0.041997,-0.13473,1,0.0522
15.054,-0.16451,3.0808,0,0,0,59.935,6.9484,0.042078,0.036956,1,0.05568
15.029,-0.14273,3.0961,0,0,0,69.63,6.868,0.040272,0.14623,1,0.05916
14.964,-0.11964,3.116,0,0,0,83.85,6.8457,0.036919,0.21505,1,0.06264
14.842,-0.094896,3.1345,0,0,0,106.95,6.9141,0.032197,0.25023,1,0.06612
14.646,-0.067813,3.1445,0,0,0,144.79,7.1078,0.026623,0.2644,1,0.0696
14.339,-0.03682,3.1381,0,0,0,208.15,7.4919,0.020963,0.26895,1,0.07308
13.861,0.00012165,3.1057,0,0,0,312.97,8.1521,0.016061,0.26955,1,0.07656
13.146,0.043744,3.0377,0,0,0,472.57,9.1406,0.012552,0.2637,1,0.08004
12.136,0.091883,2.9246,0,0,0,689.91,10.43,0.010635,0.23945,1,0.08352
10.8,0.12993,2.7515,0,0,0,917.85,11.691,0.010034,0.17732,1,0.087
9.323,0.13952,2.5305,0,0,0,1056.6,12.382,0.0099534,0.094014,1,0.09048
7.8463,0.11799,2.2784,0,0,0,1081.2,12.372,0.01002,0.0061732,1,0.09396
6.4512,0.068425,2.0085,0,0,0,1004.8,11.705,0.010031,-0.078128,1,0.09744
5.1858,-0.002901,1.7329,0,0,0,859.6,10.531,0.0098659,-0.15426,1,0.10092
4.0682,-0.088632,1.4611,0,0,0,684.28,9.0447,0.0094674,-0.21984,1,0.1044
3.1191,-0.18214,1.2025,0,0,0,514.53,7.4415,0.0087997,-0.2724,1,0.10788
2.3129,-0.27609,0.96171,0,0,0,369.11,5.8878,0.0079159,-0.31358,1,0.11136
1.6268,-0.36668,0.7404,0,0,0,250.03,4.452,0.0068813,-0.34555,1,0.11484
1.0528,-0.45108,0.54142,0,0,0,157.23,3.1795,0.0057616,-0.36978,1,0.11832
0.58641,-0.52621,0.36858,0,0,0,89.245,2.1074,0.0046454,-0.38666,1,0.1218
0.22766,-0.58829,0.22694,0,0,0,43.98,1.2686,0.0036555,-0.39524,1,0.12528
-0.0013357,-0.62853,0.1307,0,0,0,20.255,0.73838,0.0030986,-0.39327,1,0.12876
-0.12364,-0.64787,0.076655,0,0,0,9.277,0.4631,0.0032669,-0.38702,1,0.13224
-0.18567,-0.65547,0.047656,0,0,0,4.2668,0.3265,0.0041169,-0.38043,1,0.13572
