"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
1.0816,2.0524,1.4091,0,0,0,415.74,2.2592,0.00071477,-18.549,1,0
1.4527,1.7365,2.4385,0,0,0,464.54,2.4944,0.000855,-15.174,1,0.00348
2.9192,0.94507,4.0573,0,0,0,600.96,3.173,0.0012862,-5.4276,1,0.00696
4.2244,0.28628,4.6662,0,0,0,583.03,3.4351,0.0017132,2.0868,1,0.01044
5.5488,-0.076513,4.6612,0,0,0,437.56,3.4678,0.0023985,8.1973,1,0.01392
6.8287,-0.20379,4.5202,0,0,0,216.72,3.4063,0.0035463,13.644,1,0.0174
7.6566,-0.31333,4.4497,0,0,0,82.327,3.3692,0.00505,18.212,1,0.02088
8.2571,-0.43939,4.3863,0,0,0,37.156,3.34,0.0063506,21.939,1,0.02436
8.8009,-0.57438,4.2953,0,0,0,17.612,3.3151,0.0073279,25.267,1,0.02784
9.308,-0.72029,4.1778,0,0,0,10.145,3.2984,0.0080183,28.231,1,0.03132
9.7866,-0.8771,4.0408,0,0,0,7.7618,3.2951,0.0084878,30.846,1,0.0348
10.239,-1.0442,3.8934,0,0,0,7.1902,3.3105,0.0088144,33.116,1,0.03828
10.666,-1.2212,3.7444,0,0,0,7.1957,3.3498,0.0090686,35.046,1,0.04176
11.064,-1.4101,3.6006,0,0,0,7.4336,3.4216,0.0093157,36.565,1,0.04524
11.437,-1.6088,3.4624,0,0,0,7.7796,3.5214,0.0096049,37.73,1,0.04872
11.787,-1.8161,3.3296,0,0,0,8.2201,3.6485,0.0099476,38.538,1,0.0522
12.113,-2.0316,3.2025,0,0,0,8.7638,3.8062,0.010333,38.974,1,0.05568
12.419,-2.2553,3.0811,0,0,0,9.4408,4.0017,0.010744,39.015,1,0.05916
12.706,-2.4884,2.9649,0,0,0,10.306,4.247,0.011175,38.637,1,0.06264
12.98,-2.7356,2.8542,0,0,0,11.542,4.5743,0.011848,37.72,1,0.06612
13.232,-2.9863,2.752,0,0,0,13.279,4.965,0.013242,36.311,1,0.0696
13.43,-3.2174,2.6661,0,0,0,15.676,5.3662,0.015222,34.393,1,0.07308
13.547,-3.411,2.6034,0,0,0,19.14,5.7148,0.017019,31.887,1,0.07656
13.558,-3.5546,2.5704,0,0,0,24.58,5.959,0.017846,28.695,1,0.08004
13.443,-3.6426,2.5735,0,0,0,33.834,6.0756,0.017211,24.729,1,0.08352
13.131,-3.6577,2.6347,0,0,0,55.155,6.0807,0.013925,19.89,1,0.087
